rank,institution,count,percentage,country,region
394,CAS Institute of Information Engineering,3,0.05601194921583271,China,China (Mainland)
395,Vrije Universiteit Brussel,3,0.05601194921583271,Belgium,Other Europe
396,"Institute for Infocomm Research (I2R), A",3,0.05601194921583271,Other,Other / Unknown
397,Victoria U. Wellington,3,0.05601194921583271,New Zealand,Australia & NZ
398,Tulane University,3,0.05601194921583271,USA,USA
399,Squirrel Ai Learning,3,0.05601194921583271,Other,Other / Unknown
400,Shanghai Academy of AI for Science,3,0.05601194921583271,China,China (Mainland)
401,Leiden University,3,0.05601194921583271,Other,Other / Unknown
402,"INSAIT, Sofia University “St. Kliment Ohridski”",3,0.05601194921583271,Other,Other / Unknown
403,Beijing U. of Technology,3,0.05601194921583271,China,China (Mainland)
404,Khalifa University,3,0.05601194921583271,Other,Other / Unknown
405,University College Dublin,3,0.05601194921583271,Other,Other / Unknown
406,iFlytek,3,0.05601194921583271,China,China (Mainland)
407,University of Tulsa,3,0.05601194921583271,USA,USA
408,OpenRLHF,3,0.05601194921583271,Other,Other / Unknown
409,William & Mary,3,0.05601194921583271,Other,Other / Unknown
410,University of Freiburg,3,0.05601194921583271,Other,Other / Unknown
411,Morgan Stanley,3,0.05601194921583271,USA,USA
412,Houmo AI,3,0.05601194921583271,Other,Other / Unknown
413,University of Glasgow,3,0.05601194921583271,UK,UK
414,"SGIT AI Lab, State Grid Corporation of China",3,0.05601194921583271,Other,Other / Unknown
415,Uniphore,3,0.05601194921583271,Other,Other / Unknown
416,University of Liverpool,3,0.05601194921583271,UK,UK
417,Fujitsu Research,2,0.037341299477221805,Other,Other / Unknown
418,All Hands AI,2,0.037341299477221805,Other,Other / Unknown
419,Sorbonne Université,2,0.037341299477221805,France,France
420,Oregon State University,2,0.037341299477221805,Other,Other / Unknown
421,Mistral AI,2,0.037341299477221805,Other,Other / Unknown
422,"AXXX, Moscow, Russia, Applied AI Institute, Moscow, Russia",2,0.037341299477221805,Other,Other / Unknown
423,"AXXX, Moscow, Russia",2,0.037341299477221805,Other,Other / Unknown
424,"Institute of Image Processing and Pattern Recognition, School of Automation and Intelligent Sensing",2,0.037341299477221805,Other,Other / Unknown
425,"Institute of Image Processing and Pattern Recognition, School of Automation and Intelligent Sensing, MoE Key Laboratory of System Control and Information Processing (Shanghai)",2,0.037341299477221805,Other,Other / Unknown
426,Kookmin University,2,0.037341299477221805,Other,Other / Unknown
427,"Z¨urich, Switzerland",2,0.037341299477221805,Other,Other / Unknown
428,Guangdong Key Laboratory of Data Security and Privacy Preserving,2,0.037341299477221805,Other,Other / Unknown
429,Institute for Health Computing,2,0.037341299477221805,Other,Other / Unknown
430,Chan Zuckerberg Initiative,2,0.037341299477221805,Other,Other / Unknown
431,Ecole Normale Supérieure de Lyon,2,0.037341299477221805,Other,Other / Unknown
432,2077AI,2,0.037341299477221805,China,China (Mainland)
433,Xaira Therapeutics,2,0.037341299477221805,Other,Other / Unknown
434,Oklahoma State University,2,0.037341299477221805,Other,Other / Unknown
435,Cognizant AI Lab,2,0.037341299477221805,Other,Other / Unknown
436,"Shantou University, Shantou, China",2,0.037341299477221805,Other,Other / Unknown
437,"V oyager Research, Didi Chuxing",2,0.037341299477221805,Other,Other / Unknown
438,Beijing University of Chemical Technology,2,0.037341299477221805,Other,Other / Unknown
439,Constellation,2,0.037341299477221805,Other,Other / Unknown
440,"Beijing University of Posts and Telecommunications, Beijing, China",2,0.037341299477221805,Other,Other / Unknown
441,University of Massachusetts,2,0.037341299477221805,Other,Other / Unknown
442,University of Twente,2,0.037341299477221805,Other,Other / Unknown
443,Beijing Institute of Architectural Design,2,0.037341299477221805,Other,Other / Unknown
444,Hokkaido University,2,0.037341299477221805,Other,Other / Unknown
445,University of Aberdeen,2,0.037341299477221805,Other,Other / Unknown
446,Waseda University,2,0.037341299477221805,Other,Other / Unknown
447,University of Louisiana at Lafayette,2,0.037341299477221805,Other,Other / Unknown
448,Max Planck Institute for Informatics,2,0.037341299477221805,Other,Other / Unknown
449,"Universit`a della Svizzera italiana, Switzerland",2,0.037341299477221805,Other,Other / Unknown
450,NEC Corporation,2,0.037341299477221805,Other,Other / Unknown
